2020-06-22 08:53:09.293 MSK [476] ���������:  ������� �� ���� ���������: 2020-06-21 12:03:26 MSK
2020-06-22 12:11:58.643 MSK [3220] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.643 MSK [3752] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.644 MSK [5760] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.646 MSK [3204] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.647 MSK [4496] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.127 MSK [6576] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.127 MSK [6272] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.127 MSK [1960] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.131 MSK [1420] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.132 MSK [4912] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.132 MSK [6740] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.133 MSK [3936] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.136 MSK [5436] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.137 MSK [6276] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:50:12.137 MSK [4536] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.769 MSK [4128] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.770 MSK [3832] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.770 MSK [2424] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.773 MSK [896] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.774 MSK [284] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.775 MSK [1828] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.777 MSK [6376] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.779 MSK [2556] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.785 MSK [5060] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:08:53.792 MSK [844] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:09:48.736 MSK [1012] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "idx_test_consumer_uk_meter_id"
2020-06-22 13:09:48.736 MSK [1012] ПОДРОБНОСТИ:  Ключ "(meter_id)=(dda9852b-3759-4359-045c-8a74239dbbe6)" уже существует.
2020-06-22 13:09:48.736 MSK [1012] ОПЕРАТОР:  UPDATE TEST_CONSUMER SET METER_ID = $1, UPDATED_BY = $2, UPDATE_TS = $3, VERSION = $4 WHERE ((ID = $5) AND (VERSION = $6))
2020-06-22 13:09:48.743 MSK [1012] ОШИБКА:  текущая транзакция прервана, команды до конца блока транзакции игнорируются
2020-06-22 13:09:48.743 MSK [1012] ОПЕРАТОР:  SELECT 1
2020-06-22 13:18:59.088 MSK [5548] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.089 MSK [936] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.090 MSK [1012] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.090 MSK [2600] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.102 MSK [3624] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.104 MSK [7076] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.110 MSK [5760] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.111 MSK [5200] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.114 MSK [6700] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:18:59.116 MSK [6972] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.646 MSK [4184] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.647 MSK [3832] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.648 MSK [6076] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.649 MSK [3792] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.653 MSK [2496] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.658 MSK [3340] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.659 MSK [3284] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.669 MSK [188] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.670 MSK [3704] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:26:53.672 MSK [4100] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:17.997 MSK [5792] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:17.997 MSK [4828] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:18.003 MSK [1228] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:18.006 MSK [1364] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:18.012 MSK [4520] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:18.017 MSK [1412] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:18.018 MSK [1252] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:18.019 MSK [5604] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:18.026 MSK [1236] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:29:18.031 MSK [5988] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.632 MSK [5760] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.635 MSK [6644] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.643 MSK [5992] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.648 MSK [4988] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.649 MSK [3740] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.652 MSK [6808] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.654 MSK [3780] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.656 MSK [1028] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.659 MSK [2628] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:30:24.660 MSK [1168] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.663 MSK [4452] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.664 MSK [4912] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.664 MSK [6084] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.669 MSK [5308] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.669 MSK [1672] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.673 MSK [6252] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.673 MSK [6908] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.676 MSK [3180] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.678 MSK [5276] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:44:48.678 MSK [1780] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.729 MSK [3208] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.730 MSK [3772] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.733 MSK [6312] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.734 MSK [4976] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.736 MSK [2628] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.740 MSK [1360] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.741 MSK [7104] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.741 MSK [6040] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.746 MSK [5432] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:48:03.747 MSK [2472] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.052 MSK [2520] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.052 MSK [4332] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.054 MSK [1416] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.054 MSK [4652] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.057 MSK [6200] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.060 MSK [6092] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.061 MSK [6852] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.063 MSK [3576] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.074 MSK [2460] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:51:48.079 MSK [4496] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.600 MSK [6824] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.601 MSK [2288] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.606 MSK [2712] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.606 MSK [6572] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.611 MSK [1184] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.611 MSK [4216] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.619 MSK [7040] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.619 MSK [1044] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.628 MSK [408] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:58:24.630 MSK [5260] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.925 MSK [4656] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.927 MSK [4564] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.927 MSK [4612] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.930 MSK [5800] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.933 MSK [6192] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.933 MSK [1624] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.936 MSK [1428] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.938 MSK [2816] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.940 MSK [1780] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 13:59:29.941 MSK [2688] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.824 MSK [4460] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.824 MSK [3648] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.827 MSK [5504] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.833 MSK [7088] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.833 MSK [2532] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.834 MSK [7200] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.835 MSK [7988] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.837 MSK [8084] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.838 MSK [2436] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:55:13.838 MSK [7784] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 15:58:20.602 MSK [6280] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "idx_test_consumer_uk_meter_id"
2020-06-22 15:58:20.602 MSK [6280] ПОДРОБНОСТИ:  Ключ "(meter_id)=(dda9852b-3759-4359-045c-8a74239dbbe6)" уже существует.
2020-06-22 15:58:20.602 MSK [6280] ОПЕРАТОР:  INSERT INTO TEST_CONSUMER (ID, APARTMENT_NUM, CREATE_TS, CREATED_BY, DELETE_TS, DELETED_BY, HOUSE_NUM, STREET_NAME, UPDATE_TS, UPDATED_BY, VERSION, METER_ID) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12)
2020-06-22 15:58:20.625 MSK [6280] ОШИБКА:  текущая транзакция прервана, команды до конца блока транзакции игнорируются
2020-06-22 15:58:20.625 MSK [6280] ОПЕРАТОР:  SELECT 1
2020-06-22 15:58:34.302 MSK [6280] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "idx_test_consumer_uk_meter_id"
2020-06-22 15:58:34.302 MSK [6280] ПОДРОБНОСТИ:  Ключ "(meter_id)=(dda9852b-3759-4359-045c-8a74239dbbe6)" уже существует.
2020-06-22 15:58:34.302 MSK [6280] ОПЕРАТОР:  INSERT INTO TEST_CONSUMER (ID, APARTMENT_NUM, CREATE_TS, CREATED_BY, DELETE_TS, DELETED_BY, HOUSE_NUM, STREET_NAME, UPDATE_TS, UPDATED_BY, VERSION, METER_ID) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12)
2020-06-22 15:58:34.304 MSK [6280] ОШИБКА:  текущая транзакция прервана, команды до конца блока транзакции игнорируются
2020-06-22 15:58:34.304 MSK [6280] ОПЕРАТОР:  SELECT 1
2020-06-22 16:00:18.612 MSK [6280] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.615 MSK [3740] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.616 MSK [80] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.621 MSK [7952] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.623 MSK [6732] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.626 MSK [6240] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.633 MSK [8144] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.637 MSK [6092] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.637 MSK [844] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:00:18.639 MSK [1028] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.211 MSK [7460] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.212 MSK [8152] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.213 MSK [7976] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.220 MSK [3880] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.221 MSK [4736] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.225 MSK [2712] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.225 MSK [4436] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.230 MSK [2396] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.231 MSK [7892] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:11:48.233 MSK [900] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:25.992 MSK [796] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:25.993 MSK [4804] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:25.997 MSK [2336] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:26.000 MSK [6128] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:26.005 MSK [6716] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:26.004 MSK [7840] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:26.010 MSK [3044] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:26.014 MSK [844] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:26.022 MSK [6460] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:16:26.022 MSK [7092] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.410 MSK [5760] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.410 MSK [5412] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.412 MSK [3644] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.414 MSK [1248] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.415 MSK [4460] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.417 MSK [2808] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.418 MSK [6416] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.420 MSK [6076] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.421 MSK [6700] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:18:51.423 MSK [4892] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:20:05.269 MSK [2560] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "idx_test_consumer_uk_meter_id"
2020-06-22 16:20:05.269 MSK [2560] ПОДРОБНОСТИ:  Ключ "(meter_id)=(dda9852b-3759-4359-045c-8a74239dbbe6)" уже существует.
2020-06-22 16:20:05.269 MSK [2560] ОПЕРАТОР:  UPDATE TEST_CONSUMER SET METER_ID = $1, UPDATED_BY = $2, UPDATE_TS = $3, VERSION = $4 WHERE ((ID = $5) AND (VERSION = $6))
2020-06-22 16:20:05.276 MSK [2560] ОШИБКА:  текущая транзакция прервана, команды до конца блока транзакции игнорируются
2020-06-22 16:20:05.276 MSK [2560] ОПЕРАТОР:  SELECT 1
2020-06-22 16:22:41.474 MSK [236] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.489 MSK [2560] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.494 MSK [2972] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.505 MSK [4200] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.505 MSK [1352] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.530 MSK [5904] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.597 MSK [4652] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.621 MSK [6624] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.888 MSK [1032] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:22:41.892 MSK [3080] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 16:24:16.331 MSK [5188] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
